Voltage (V), Wavelength Shift (nm)
-2.5, 1.4797239880247162
-2.25, 1.3080713953056602
-2.0, 1.073905705493189
-1.75, 0.843420025847081
-1.5, 0.6338383060556225
-1.25, 0.45059860515198125
-1.0, 0.29841445170700354
-0.75, 0.17652518373915882
-0.5, 0.08199718950140777
-0.25, 0.023918452404359414
0.0, 0.0
0.25, 0.012258017328349524
0.5, 0.0590175042593728
0.75, 0.14196191945984538
1.0, 0.25625325948954014
1.25, 0.40718720255881635
1.5, 0.5886389046315799
1.75, 0.807710430589168
2.0, 1.0585308027775682
2.25, 1.3294627468546878
-2.5, 1.6025290243971995
-2.25, 1.3333230802866183
-2.0, 1.066654972655897
-1.75, 0.8270638419548959
-1.5, 0.6188437865439482
-1.25, 0.4344800404869602
-1.0, 0.2887880062160093
-0.75, 0.16639645852592366
-0.5, 0.07752265567137329
-0.25, 0.021691777310024918
0.0, 0.0
0.25, 0.00901699109135734
0.5, 0.05117490978022943
0.75, 0.12054799235988867
1.0, 0.23078066668836072
1.25, 0.3715565852896816
1.5, 0.5500138630541187
1.75, 0.762125765766541
2.0, 1.0033528964756897
2.25, 1.274869390283584
2.5, 1.580591263407996
-2.5, 1.3980928934270196
-2.0, 1.0020857304928086
-1.5, 0.6119951181872239
-1.0, 0.3021163266862459
-0.5, 0.09864363273413801
0.0, 0.0
0.5, 0.036926727148284044
1.0, 0.20427819315727902
1.5, 0.49415988196960825
2.0, 0.9113367111231128
2.5, 1.4474089135219401
-2.5, 1.5615445028322483
-2.0, 1.0679712178725822
-1.5, 0.6344198557353593
-1.0, 0.2989179789269656
-0.5, 0.08853389155729019
0.0, 0.0
0.5, 0.04080826453832742
1.0, 0.22036378312554916
1.5, 0.527985479750896
2.0, 0.9502976783442136
2.5, 1.4912722108235812
-2.5, 1.3992223537049995
-2.25, 1.2569421329001216
-2.0, 1.039557146568086
-1.75, 0.825565962269593
-1.5, 0.6264972891635807
-1.25, 0.44965675509592984
-1.0, 0.30242002132945345
-0.75, 0.17778525932817502
-0.5, 0.0880414791149633
-0.25, 0.028234082134758864
0.0, 0.0
0.25, 0.011585825526253757
0.5, 0.055862817494926276
0.75, 0.13456102543204906
1.0, 0.24857961690668162
1.25, 0.39526391310801046
1.5, 0.567366642153047
1.75, 0.7696623247309162
2.0, 1.0008381351387925
2.25, 1.2607371550650441
2.5, 1.5408754864413368
